price,area
598291,1188
1744259,3512
571669,1134
493675,1940
1101539,2208
455235,1785
1489871,2996
821931,3263
299903,1159
321975,1248
863995,3432
968251,3853
576755,2275
356333,698
76647,260
377375,1472
1099099,4380
497643,1956
835571,3318
32023,40
732155,2901
1007072,2017
2209887,4456
297671,1150
1361350,2735
591389,1174
400923,1566
1055051,4203
1656998,3335
336607,1307
1742780,3509
474331,1862
428804,845
449035,1760
269247,1036
275447,1061
690987,2735
301639,1166
555675,2190
2290655,4620
432667,1694
578912,1149
585435,2310
12663,2
970979,3864
1422330,2859
465707,1826
510043,2006
545399,2147
508803,2001
789195,3131
542430,1075
1024327,2052
556915,2195
677099,2679
2410454,4863
535035,1060
606027,1204
326439,1266
1026792,2057
1072315,4272
518425,1026
1585020,3189
734387,2910
932539,3709
89704,157
42423,122
599571,2367
502851,1977
755558,1507
174027,653
515499,2028
2280386,4599
2111203,4256
360911,1405
778035,3086
633451,2503
647683,2561
196108,373
1079543,2164
680075,2691
902556,1805
1041811,4149
366367,1427
55071,173
1329646,2671
492683,1936
478299,1878
1108630,2223
982539,3910
319851,624
227335,867
656958,1307
755715,2996
450027,1764
904528,1809
903049,1806
805067,3195
345287,1342
417703,1634
409084,805
1836450,3699
331151,1285
428699,1678
1057851,2120
2072749,4178
1656012,3333
1442543,2900
505827,1989
375391,1464
266271,1024
444075,1740
135553,250
1587144,3193
470611,1847
667179,2639
1101235,2208
401419,1568
378767,1477
84774,147
267263,1028
293551,1134
766875,3041
126186,231
1001883,3988
1131308,2269
805467,3196
955851,3803
912107,3626
547739,2158
713059,2824
826643,3282
607658,1207
470363,1846
319495,1238
810771,3218
876891,3484
1115532,2237
242215,927
570038,1131
678587,2685
377031,1470
49367,150
545259,2148
1435148,2885
1201523,4793
613574,1219
543523,2141
1045779,4165
654493,1302
621803,1236
204080,389
279319,1076
90699,317
1741794,3507
803331,3188
525668,1041
1219875,4867
357535,1392
667311,1328
496733,982
1405720,2825
1432190,2879
45895,136
355043,1381
953335,1908
273119,1051
497147,1954
45827,68
363639,1416
916171,3643
920139,3659
711971,2819
770099,3054
1009323,4018
930657,1862
1137539,4535
57303,182
218903,833
348607,1356
25121,26
529764,1049
735345,1466
929671,1860
761571,3019
882443,3507
513515,2020
441759,1731
556171,2192
83295,144
969987,3860
1048259,4175
357039,1390
580227,2289
251047,962
643154,1279
577092,1145
1027778,2059
794096,1585
428863,1679
632801,1258
857643,3407
803872,1605
293207,1132
702807,1400
1463163,5848
471107,1849
1294491,2600
719160,1433
380503,1484
336111,1305
1984995,4000
336455,1307
687524,1369
334719,1300
597891,2359
270983,1043
269895,1038
1385848,2785
664353,1322
994291,3958
633142,1259
573641,1138
601363,2373
150219,557
521203,2051
1501210,3019
320347,1243
297175,1148
534542,1059
528395,2080
1118490,2243
2140290,4315
995519,3962
1056443,4208
268999,1035
706599,1408
372319,1451
279567,1077
1379439,2772
372319,1451
1926821,3882
780208,1557
637731,1268
333479,1295
828131,3288
819699,3254
334623,1299
525915,2070
363227,1414
1491350,2999
642661,1278
1038587,4136
577251,2277
1038835,4137
2164940,4365
471695,932
70477,118
848326,1695
274607,1057
262551,1009
289583,1118
399847,1562
401419,1568
548991,1088
345879,1345
432831,1695
364879,1421
25063,52
1164819,4645
1319075,5267
181467,683
859875,3416
1052227,4191
478051,1877
1063883,4238
412042,811
652028,1297
673227,1340
478299,1878
1393479,2800
309823,1199
1062243,4232
181895,344
400839,1566
1989925,4010
1177650,2363
1647631,3316
1540157,3098
120270,219
1673419,3368
323311,1254
229579,877
660331,2612
397463,1553
420763,1646
385959,1506
1410005,2834
85079,294
370831,1445
718915,2847
1093840,2193
610957,1214
1620135,6480
1712366,3447
481943,952
486235,1910
125693,230
1636292,3293
316271,1225
1032215,2068
732387,1460
571547,2254
592627,2339
437627,1714
710543,1416
458211,1797
142779,527
468480,925
367359,1431
571176,1133
484749,958
28039,64
865331,3438
749642,1495
714795,2831
1606247,6424
775059,3074
1615093,3250
295191,1140
386799,1510
845739,3359
884179,3514
608499,2403
332487,1291
317359,1230
714699,2830
517235,2035
439611,1722
300247,1161
1050987,4186
1800613,3626
929067,3695
1181683,4713
246971,476
652521,1298
261063,1003
648084,1289
1039331,4139
315375,1222
945091,3759
1032708,2069
730667,2895
627719,1248
871779,3464
54701,86
676033,1346
1854350,3735
897075,3566
638224,1269
255855,982
785227,3115
614901,1222
547491,2157
479478,947
1644180,3309
391251,1527
454739,1783
544061,1078
870291,3458
1779262,3583
1768416,3561
759995,1516
662722,1319
589758,1171
14151,8
221828,425
863251,3429
45895,136
534843,2106
597305,1186
478340,945
165595,619
277583,1069
285023,1099
260071,999
265431,1020
428367,1677
987499,3930
881451,3503
745782,1487
622939,2460
19359,29
514011,2022
344791,1340
819947,3255
693440,1381
360911,1405
1443681,2902
988739,3935
801099,3179
673720,1341
505083,1986
1603754,3227
635114,1263
137159,504
494116,977
297423,1149
43167,125
378023,1474
687031,1368
1252738,2515
853256,1705
126247,460
704875,2791
1822646,3671
553428,1097
787955,3126
304215,1177
1386834,2787
319343,1238
1699889,3422
60279,194
280903,1083
1131919,4512
224111,854
387695,1513
398731,784
280807,1082
813499,3229
825651,3278
59138,95
268007,1031
578571,1148
710202,1415
855163,3397
1012002,2027
962209,1926
1260631,5031
151329,282
857200,1713
275599,1061
2023297,4078
905259,3599
666173,1326
2011124,4053
304367,1177
136539,252
1009323,4018
784152,1565
346527,1347
534843,2106
541291,2132
571299,2253
725076,1445
309671,1199
875934,1751
868955,3452
1431697,2878
1641222,3303
1013481,2030
912416,1825
1462756,2941
203775,772
542035,2135
513019,2018
439115,1720
435891,1707
1226323,4893
829619,3294
541291,2132
459947,1804
824163,3272
647187,2559
1022355,2048
48375,146
730819,2895
682555,2701
877906,1755
488845,966
730908,1457
884808,1769
302383,1169
525971,2069
652028,1297
1742780,3509
1045526,2095
2519984,5085
522710,1035
914881,1830
1511070,3039
228327,871
2273977,4586
457141,902
301735,1167
716683,2838
599277,1190
490665,970
484901,958
821931,3263
300895,1163
547019,1084
